keys,transactionSize,rangeSize,communities,rangeLocked,communityLocked
100000,10,15,15,39996,13399
100000,10,20,20,45000,9870
100000,10,25,25,32000,4024
100000,10,30,30,29997,6640
100000,10,10,10,60000,9817
100000,10,15,15,53328,13315
100000,10,20,20,50000,9999
100000,10,25,25,36000,7937
100000,10,30,30,33330,6599
100000,10,10,10,60000,39995
100000,10,15,15,59994,26708
100000,10,20,20,35000,10015
100000,10,25,25,32000,3950
100000,10,30,30,33330,10058
100000,10,10,10,70000,40239
100000,10,15,15,33330,13499
100000,10,20,20,35000,4984
100000,10,25,25,36000,4033
100000,10,30,30,33330,3319
100000,10,10,10,70000,19928
100000,10,15,15,53328,19851
100000,10,20,20,35000,9936
100000,10,25,25,40000,3972
100000,10,30,30,29997,9953
100000,10,10,10,70000,19900
100000,10,15,15,39996,13359
100000,10,20,20,45000,9959
100000,10,25,25,32000,3998
100000,10,30,30,26664,10005
100000,10,10,10,40000,9852
100000,10,15,15,39996,6659
100000,10,20,20,45000,4910
100000,10,25,25,32000,4089
100000,10,30,30,29997,3360
100000,10,10,10,40000,29946
100000,10,15,15,39996,13537
100000,10,20,20,45000,4981
100000,10,25,25,36000,3983
100000,10,30,30,33330,6675
100000,10,10,10,70000,20101
100000,10,15,15,46662,6692
100000,10,20,20,40000,10187
100000,10,25,25,36000,20070
100000,10,30,30,29997,6732
100000,10,10,10,40000,20010
100000,10,15,15,66660,6718
100000,10,20,20,40000,9875
100000,10,25,25,28000,4062
100000,10,30,30,29997,6672
100000,10,10,10,70000,19834
100000,10,15,15,53328,13235
100000,10,20,20,30000,9875
100000,10,25,25,36000,8013
100000,10,30,30,26664,3402
100000,10,10,10,50000,10065
100000,10,15,15,46662,13318
100000,10,20,20,45000,14945
100000,10,25,25,40000,12166
100000,10,30,30,26664,6926
100000,10,10,10,70000,10078
100000,10,15,15,46662,26807
100000,10,20,20,45000,14900
100000,10,25,25,32000,16112
100000,10,30,30,23331,13482
100000,10,10,10,60000,19865
100000,10,15,15,46662,33307
100000,10,20,20,45000,10146
100000,10,25,25,32000,7919
100000,10,30,30,29997,6519
100000,10,10,10,60000,29817
100000,10,15,15,46662,13157
100000,10,20,20,45000,5024
100000,10,25,25,28000,7936
100000,10,30,30,29997,6705
100000,10,10,10,70000,20234
100000,10,15,15,39996,20115
100000,10,20,20,45000,4989
100000,10,25,25,36000,8032
100000,10,30,30,29997,13395
100000,10,10,10,70000,9991
100000,10,15,15,59994,6616
100000,10,20,20,25000,14845
100000,10,25,25,36000,4006
100000,10,30,30,29997,13207
100000,10,10,10,60000,10018
100000,10,15,15,53328,26632
100000,10,20,20,40000,25013
100000,10,25,25,36000,3913
100000,10,30,30,26664,9997
100000,10,10,10,60000,20075
100000,10,15,15,46662,13415
100000,10,20,20,45000,15118
100000,10,25,25,32000,4026
100000,10,30,30,33330,6689
100000,10,10,10,60000,20013
